-12.01186, -76.98910, 
-12.01215, -76.98914, 
-12.01313, -76.98931, 
-12.01450, -76.98952, 
-12.01703, -76.98993, 
-12.01753, -76.98999, 
-12.01776, -76.99003, 
-12.01787, -76.99005, 
-12.01800, -76.98970, 
-12.01845, -76.98841, 
-12.01866, -76.98777, 
-12.01898, -76.98722, 
-12.01908, -76.98704, 
-12.01937, -76.98672, 
-12.01959, -76.98649, 
-12.01992, -76.98634, 
-12.02123, -76.98620, 
-12.02205, -76.98610, 
-12.02313, -76.98613, 
-12.02444, -76.98615, 
-12.02564, -76.98619, 
-12.02634, -76.98620, 
-12.02617, -76.98520, 
-12.02606, -76.98407, 
-12.02586, -76.98289, 
-12.02546, -76.98107, 
-12.02569, -76.97963, 
-12.02602, -76.97737, 
-12.02619, -76.97642, 
-12.02519, -76.97615, 
-12.02366, -76.97600, 
-12.02224, -76.97583, 
-12.02136, -76.97535, 
-12.02031, -76.97564, 
-12.01996, -76.97560, 
-12.01978, -76.97551, 
-12.01927, -76.97595, 
-12.01853, -76.97552, 
-12.01793, -76.97519, 
-12.01744, -76.97491, 
-12.01721, -76.97478, 
-12.01646, -76.97434, 
-12.01609, -76.97413, 
-12.01488, -76.97346, 
-12.01015, -76.97076, 
-12.00820, -76.96965, 
-12.00426, -76.96735, 
-12.00211, -76.96844, 
-11.99919, -76.96968, 
-11.99663, -76.96974, 
-11.99495, -76.96941, 
-11.99381, -76.96839, 
-11.99361, -76.96823, 
-11.99366, -76.96837, 
-11.99397, -76.96863, 
-11.99409, -76.96881, 
-11.99410, -76.96901, 
-11.99406, -76.96914, 
-11.99402, -76.96932, 
-11.99414, -76.96955, 
-11.99431, -76.96979, 
-11.99443, -76.96999, 
-11.99474, -76.97022, 
-11.99506, -76.97075, 
-11.99532, -76.97117, 
-11.99562, -76.97171, 
-11.99595, -76.97210, 
-11.99696, -76.97277, 
-11.99838, -76.97393, 
-11.99927, -76.97510, 
-11.99959, -76.97556, 
-12.00001, -76.97633, 
-12.00031, -76.97695, 
-12.00062, -76.97758, 
-12.00108, -76.97920, 
-12.00136, -76.97979, 
-12.00173, -76.98031, 
-12.00202, -76.98067, 
-12.00210, -76.98106, 
-12.00210, -76.98143, 
-12.00248, -76.98222, 
-12.00277, -76.98264, 
-12.00323, -76.98301, 
-12.00363, -76.98334, 
-12.00397, -76.98350, 
-12.00448, -76.98367, 
-12.00480, -76.98375, 
-12.00512, -76.98391, 
-12.00533, -76.98410, 
-12.00556, -76.98429, 
-12.00573, -76.98458, 
-12.00588, -76.98483, 
-12.00603, -76.98505, 
-12.00618, -76.98523, 
-12.00624, -76.98530, 
-12.00638, -76.98539, 
-12.00653, -76.98549, 
-12.00664, -76.98556, 
-12.00694, -76.98565, 
-12.00721, -76.98580, 
-12.00757, -76.98604, 
-12.00801, -76.98625, 
-12.00849, -76.98640, 
-12.00872, -76.98644, 
-12.00890, -76.98649, 
-12.00904, -76.98653, 
-12.00914, -76.98666, 
-12.00929, -76.98680, 
-12.00942, -76.98694, 
-12.00964, -76.98734, 
-12.00982, -76.98765, 
-12.00990, -76.98786, 
-12.01003, -76.98806, 
-12.01026, -76.98829, 
-12.01037, -76.98837, 
-12.01049, -76.98845, 
-12.01061, -76.98854, 
-12.01080, -76.98862, 
-12.01099, -76.98870, 
-12.01124, -76.98887, 
-12.01145, -76.98898, 
-12.01148, -76.98904, 
-12.01184, -76.98910, 
